Probability,Distance(mi),Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Bump,Crossing,Roundabout,Stop,Traffic_Signal,Accident_year,Accident_month,Accident_hour
0.68,0.691,66.9,63.99413146,54,29.93,10,16.1,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,14
0.26,2.371,68,63.99413146,59,30.1,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,14
0.59,0.789,70.5,63.99413146,70,29.88,10,8.1,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,14
0.52,4.005,86,63.99413146,27,29.94,10,4.6,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,14
0.58,4.136,86,63.99413146,27,29.94,10,4.6,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,14
0.27,0.36,77.50214172,63.99413146,64.69286853,29.91164623,9.641367071,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.28,0.808,64.9,63.99413146,63,30.08,10,12.7,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.44,0.808,64.9,63.99413146,63,30.08,10,12.7,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.61,0.036,75.2,63.99413146,47,30.07,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.51,0.078,75.2,63.99413146,47,30.07,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,TRUE,2017,7,15
0.42,0.36,77.50214172,63.99413146,64.69286853,29.91164623,9.641367071,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.7,1.54,70,63.99413146,71,29.85,10,10.4,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,17
0.27,2.197,70,63.99413146,55,30.06,10,5.8,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,19
0.27,15.362,91.6,63.99413146,12,29.75,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,21
0.44,0.524,64.9,63.99413146,87,29.89,10,5.8,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,20
0.87,0.767,68,63.99413146,61,30.03,10,5.8,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,21
0.65,2.637,59,63.99413146,75,29.84,10,11.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,22
0.95,0.009,93,63.99413146,7,29.73,10,11.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,22
0.92,0.114,57.9,63.99413146,75,29.92,10,10.4,0.079661972,FALSE,TRUE,FALSE,FALSE,TRUE,2017,7,23
0.79,0.292,93.9,63.99413146,5,29.7,10,4.6,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,23
0.66,1.037,64,63.99413146,84,29.91,10,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,23
0.91,0.632,64.9,63.99413146,81,29.91,10,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,0
0.82,0.985,60.1,63.99413146,72,30.05,10,11.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,0
0.81,0,57,63.99413146,81,30.04,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,0
0.77,0.632,64.9,63.99413146,81,29.91,10,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,1
0.61,0.653,53.6,63.99413146,100,30.07,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,1
0.5,0.833,55,63.99413146,80,29.88,10,8.1,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,3
0.76,0.355,57,63.99413146,89,30.08,9,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,3
0.25,4.813,63,63.99413146,75,29.89,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,3
0.29,4.813,63,63.99413146,75,29.89,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,3
0.66,0.429,66,63.99413146,78,29.89,9,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,4
0.98,0,61,63.99413146,81,29.81,10,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,5
0.75,0.065,64.9,63.99413146,70,30.1,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,13
0.62,1.289,86,63.99413146,36,29.86,10,12.7,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,14
0.56,0.318,90,63.99413146,24,29.89,10,8.1,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,14
0.5,0.526,73.9,63.99413146,55,30.12,10,5.8,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,16
0.28,2.454,77.50214172,63.99413146,64.69286853,29.91164623,9.641367071,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,17
0.26,0.129,73.9,63.99413146,57,30.09,10,8.1,0.079661972,FALSE,FALSE,FALSE,TRUE,FALSE,2017,7,17
0.66,1.349,66.9,63.99413146,79,29.97,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,20
0.96,0.129,66,63.99413146,68,30.1,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,20
0.73,0.727,59,63.99413146,82,29.99,10,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,23
0.77,0.419,64,63.99413146,87,30,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,0
0.82,0.558,89.1,63.99413146,6,29.83,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,0
1,0,90,63.99413146,7,29.88,10,10.4,0.079661972,FALSE,FALSE,FALSE,FALSE,TRUE,2017,7,0
0.89,0,61,63.99413146,78,30.11,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,1
0.91,0.688,61,63.99413146,78,30.11,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,1
0.94,3.663,55.9,63.99413146,99,30.13,10,4.6,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,1
0.65,0.559,62.1,63.99413146,86,30.02,8,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,3
0.6,0.285,63,63.99413146,84,30,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,3
0.39,0.38,62.6,63.99413146,88,30.04,4,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,3
0.32,8.646,57,63.99413146,83,29.9,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,4
0.38,0.849,57,63.99413146,83,29.9,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,5
0.89,0.167,62.1,63.99413146,90,30.01,9,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,5
0.77,0.222,64,63.99413146,80,30.01,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,5
0.92,0.198,57,63.99413146,87,30.17,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,5
0.26,0.33,54,63.99413146,83,30.16,10,6.9,0.079661972,FALSE,FALSE,FALSE,TRUE,FALSE,2017,7,5
0.52,0.153,55.4,63.99413146,82,30.18,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,6
0.76,0.174,55.9,63.99413146,90,30.17,10,9.2,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,6
0.76,0.192,55.9,63.99413146,90,30.17,10,9.2,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,6
0.85,0.045,63,63.99413146,87,30.01,9,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,6
0.9,0.386,63,63.99413146,87,30.03,9,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,6
0.85,0.487,63,63.99413146,87,30.03,9,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,6
0.87,0,60.1,63.99413146,75,30.18,10,4.6,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,6
0.98,0.033,63,63.99413146,84,30.04,10,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,6
0.54,0.107,57.9,63.99413146,84,29.94,10,4.6,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,7
0.53,0,54,63.99413146,83,30.17,10,8.1,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,7
0.61,0,54,63.99413146,83,30.17,10,8.1,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,7
0.92,0.383,59,63.99413146,88,30.07,7,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,7
0.83,0.62,63,63.99413146,84,30.1,7,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,7
0.86,6.467,60.1,63.99413146,75,30.04,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,7
0.94,0.609,73.9,63.99413146,57,29.95,10,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,7
0.81,0.134,61,63.99413146,78,30,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,8
0.89,0.517,64.9,63.99413146,81,30.03,9,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,8
0.78,0.385,64.9,63.99413146,75,30.07,8,4.6,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,8
0.89,0.431,66,63.99413146,81,30.06,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,8
0.89,0.206,68,63.99413146,68,30.07,8,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,8
0.93,0.114,68,63.99413146,70,30.07,5,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,8
0.28,1.558,66.9,63.99413146,61,30.07,10,19.6,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,8
0.25,1.835,66.9,63.99413146,61,30.07,10,19.6,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,8
0.83,0.603,66,63.99413146,75,30.08,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,8
0.87,0.461,80.1,63.99413146,40,29.98,10,9.2,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,8
0.88,0.636,66,63.99413146,75,30.08,7,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,8
0.5,1.091,61,63.99413146,62,30.21,10,8.1,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,9
0.28,1.091,61,63.99413146,62,30.21,10,8.1,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,9
0.58,0.267,69.1,63.99413146,61,29.99,10,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,9
0.77,0.554,72,63.99413146,64,30.07,6,4.6,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,9
0.96,0.495,69.8,63.99413146,64,30.11,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,9
0.93,0.932,63,63.99413146,72,30.01,10,8.1,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,9
0.85,0.777,82,63.99413146,44,29.97,10,5.8,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,9
0.93,0.419,72,63.99413146,64,30.07,6,4.6,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,9
0.41,1.091,63,63.99413146,58,30.21,10,9.2,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,10
0.84,0.53,72,63.99413146,64,30.1,10,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,10
0.91,0.683,72,63.99413146,66,30.07,10,4.6,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,10
1,0.779,73,63.99413146,61,30.03,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,10
0.36,0.273,77.50214172,63.99413146,64.69286853,29.98,10,5.8,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,10
0.48,0.273,77.50214172,63.99413146,64.69286853,29.98,10,5.8,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,10
0.84,0.895,89.1,63.99413146,32,29.97,10,4.6,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,10
0.91,0.808,71.1,63.99413146,61,30.07,10,5.8,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,10
0.8,0.424,80.6,63.99413146,45,29.98,10,5.8,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,10
0.92,0.721,89.1,63.99413146,10,30.02,10,5.8,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,10
0.92,0.297,75.2,63.99413146,53,30.1,10,5.8,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,11
0.78,0.097,75.2,63.99413146,53,30.1,10,5.8,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,11
0.75,0.348,80.1,63.99413146,48,30.03,10,5.8,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,11
0.98,0.482,78.1,63.99413146,52,30.09,10,4.6,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,11
0.75,0.009,82,63.99413146,30,30.02,10,13.8,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,11
0.98,0.569,84.9,63.99413146,40,29.99,10,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,12
0.78,0,91.4,63.99413146,29,29.96,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,12
0.97,0.687,84.9,63.99413146,40,29.99,10,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,12
0.74,0.048,100,63.99413146,8,29.96,10,11.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,12
0.9,0.496,84,63.99413146,32,29.98,10,8.1,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,12
0.75,0,84,63.99413146,38,30.02,10,5.8,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,12
0.7,0,64.9,63.99413146,68,30.19,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,12
0.94,0,73.9,63.99413146,62,30.04,8,10.4,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,12
0.97,0.968,86,63.99413146,33,29.98,10,4.6,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,12
0.98,0.025,68,63.99413146,52,30.17,10,8.1,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,13
0.66,0.86,84.9,63.99413146,27,30.02,10,9.2,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,13
0.97,0.242,82,63.99413146,45,30.02,10,5.8,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,13
0.84,0,84,63.99413146,38,30.02,10,5.8,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,13
0.79,0.505,77.50214172,63.99413146,64.69286853,29.91164623,9.641367071,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,13
0.87,0.208,89.1,63.99413146,24,29.96,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,13
0.86,0.179,84,63.99413146,23,29.96,10,10.4,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,13
0.96,0.14,84.2,63.99413146,23,30.05,10,8.1,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,13
0.85,0,88,63.99413146,22,29.98,10,8.1,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,13
0.8,0.221,75.9,63.99413146,58,30.04,10,12.7,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,13
0.64,0,90,63.99413146,26,29.96,10,12.7,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,14
0.77,0.154,81,63.99413146,49,29.99,10,11.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,14
0.77,0,75.9,63.99413146,48,29.99,10,19.6,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,14
0.83,0.439,73,63.99413146,64,30.01,10,12.7,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.95,0.211,81,63.99413146,49,29.99,10,11.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.99,0.368,81,63.99413146,49,29.99,10,11.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.87,0.127,81,63.99413146,49,29.99,10,11.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.82,0.458,81,63.99413146,49,29.99,10,11.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.84,0.397,80.1,63.99413146,50,29.99,10,5.8,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.79,0.58,80.1,63.99413146,50,29.99,10,5.8,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.89,0,80.1,63.99413146,50,29.99,10,5.8,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.77,0.483,86,63.99413146,14,30.01,7,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.96,1.013,75,63.99413146,40,30.14,10,9.2,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.99,0.186,64.4,63.99413146,68,30.19,10,4.6,0.079661972,FALSE,FALSE,FALSE,TRUE,FALSE,2017,7,15
0.99,0.691,75.9,63.99413146,42,30.12,10,10.4,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.78,0.397,87.1,63.99413146,37,29.95,10,9.2,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.88,0.186,64.4,63.99413146,68,30.19,10,4.6,0.079661972,FALSE,TRUE,FALSE,FALSE,TRUE,2017,7,15
0.99,0.308,82.9,63.99413146,41,29.96,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.83,0.255,91.4,63.99413146,29,29.96,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.82,0.386,87.1,63.99413146,37,29.95,10,9.2,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.88,0.487,87.1,63.99413146,37,29.95,10,9.2,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.85,0.156,87.1,63.99413146,25,29.96,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.75,0.101,87.1,63.99413146,25,29.96,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,16
0.93,0.475,66.9,63.99413146,66,30.19,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,15
0.98,0.153,97,63.99413146,16,29.89,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,16
0.75,0.488,91.4,63.99413146,29,29.96,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,16
0.8,0,91.9,63.99413146,10,29.95,10,9.2,0.079661972,FALSE,FALSE,FALSE,FALSE,TRUE,2017,7,16
0.77,0.215,80.1,63.99413146,48,29.97,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,16
0.83,0.632,97,63.99413146,16,29.89,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,16
0.97,0.154,75,63.99413146,62,29.99,10,10.4,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,16
0.79,0.878,93.2,63.99413146,26,29.95,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,16
0.96,0,93.2,63.99413146,26,29.95,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,16
0.43,0.804,75.9,63.99413146,43,30.08,10,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,16
0.47,0.804,75.9,63.99413146,43,30.08,10,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,16
0.73,0.943,80.6,63.99413146,30,30.23,10,10.4,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,16
0.57,0.943,80.6,63.99413146,30,30.23,10,10.4,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,16
0.82,0.496,90,63.99413146,17,29.93,10,12.7,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,16
0.38,0.292,66,63.99413146,59,30.19,10,6.9,0.079661972,FALSE,FALSE,FALSE,TRUE,FALSE,2017,7,17
0.35,0.292,66,63.99413146,59,30.19,10,6.9,0.079661972,FALSE,FALSE,FALSE,TRUE,FALSE,2017,7,17
0.91,0.71,66.9,63.99413146,66,30.17,10,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,17
0.98,0.295,81,63.99413146,49,29.94,10,5.8,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,17
0.83,0.274,72,63.99413146,55,29.94,10,19.6,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,17
0.82,0.35,72,63.99413146,55,29.94,10,19.6,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,17
0.88,0,89.1,63.99413146,20,29.89,10,8.1,0.079661972,FALSE,FALSE,FALSE,FALSE,TRUE,2017,7,17
0.76,0.332,71.1,63.99413146,70,29.94,10,10.4,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,17
0.91,0.791,71.1,63.99413146,70,29.94,10,10.4,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,17
0.75,0.001,91.4,63.99413146,28,29.93,10,10.4,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,17
0.59,0,82,63.99413146,42,29.91,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,18
0.73,0.368,66.9,63.99413146,57,29.92,10,9.2,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,19
0.82,0.693,61,63.99413146,81,30,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,22
0.98,0.486,76.1,63.99413146,40,29.95,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,22
0.97,0.372,75.9,63.99413146,50,29.92,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,22
0.77,0.681,64.9,63.99413146,90,29.98,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,22
0.83,0.334,64,63.99413146,83,29.99,10,4.6,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,22
0.9,0.264,66.9,63.99413146,81,29.96,9,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,22
0.84,0.526,86,63.99413146,35,29.94,10,9.2,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,22
0.92,0.893,62.6,63.99413146,77,30.02,10,8.1,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,22
0.94,0.306,69.1,63.99413146,75,29.97,10,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,23
0.75,0,77,63.99413146,34,29.92,10,10.4,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,22
0.85,0,68,63.99413146,53,29.98,10,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,TRUE,2017,7,23
0.93,0,72,63.99413146,55,29.95,10,7.849917628,0.079661972,FALSE,TRUE,FALSE,FALSE,TRUE,2017,7,23
0.86,0,53.6,63.99413146,94,30,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,0
0.78,0.489,66.9,63.99413146,73,29.95,10,4.6,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,0
0.75,0.67,66,63.99413146,87,29.97,8,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,0
